Animal,Title ,Author ,Illustrator,First published,Pages,Age range,Grade range / Lexile,Lexile,ISBN,Series,Titles in Series,Publisher,Subject / Genre,Awards,Goodreads rating,Amazon rating,Synopsis (using AI),Amazon
bear,The Very Noisy Bear (The Bear #5),Nick Bland ,Nick Bland ,"July 01,2015",24,,,,978-1743627853,Yes,,Scholastic Australia,Childrens; Picture Books; Music; Storytime; Animals; Fiction; School; ,,4.3,4.8,,https://www.amazon.com/The-Very-Noisy-Bear/dp/1743627858/ref=sr_1_1?crid=28W8Z7VOUSKZS&dib=eyJ2IjoiMSJ9.4_AS5NSXhc45Njyv0UlONZ3OTVv5GFDy8JzP_lbmz66LcJOprB2_A78n3gFTpBhBF65yvC5AxHpbjl6CterXLFdZij72VGIdc-giv-ugk-7ARaBWnTdMlASp65j85HCgf9bsLmVHf5f7bhT6qV8LMuQSAKgdxOurID6PyeKDWXydulDEo_HuvK1pLMAfgWjpr6qp5PjCOCtj2cmzExgZx4tsat6OOfT37KiA_Rfublo.r-QLMB1B3j36CmykAI4zRNuGPUgPCWfyAmiBHpMsyko&dib_tag=se&keywords=The+Very+Noisy+Bear&qid=1714270976&s=books&sprefix=the+very+noisy+bear%2Cstripbooks%2C111&sr=1-1
"bear, fox",The Very Sleepy Bear (The Bear #6),Nick Bland ,Nick Bland ,"June 01,2017",24,3 - 7 years,PreK to 2,,978-1743812549,Yes,,Scholastic Australia,Picture Books; Childrens; Animals,,4.3,4.8,,https://www.amazon.com/Very-Sleepy-Bear/dp/174381254X/ref=monarch_sidesheet
"bear, goose",The Very Super Bear (The Bear #7),Nick Bland ,Nick Bland ,"November 01, 2019",24,Baby to 3 years,,,978-1443191777,Yes,,Scholastic Canada,Picture Books; Childrens; Fiction; Storytime; Humor; ,,4.24,4.9,,https://www.amazon.com/Very-Super-Bear-Nick-Bland/dp/1443191779/ref=monarch_sidesheet
pig,King Pig,Nick Bland ,Nick Bland ,"January 01, 2013",32,,PreK to 1,AD610L,978-0545670135,,,Scholastic,Picture Books; High Fantasy; Fantasy; Childrens; Animals; Fiction; ,,3.66,3.9,,https://www.amazon.com/King-Pig-Nick-Bland/dp/0545670136/ref=sr_1_1?crid=12QZVN7TXTDZ8&dib=eyJ2IjoiMSJ9.xuZfxhFdvtAametM2aNMfxSb8k5U10HipvrHbY2PrX-LD6JA9ognRtlXia0OHigV0OO37TAoCT1AiJyL6Ut9wIPIUGkFTktRqvOR8GyWIH0Ca-q56WAqTr2ZnaeNVhn7-mWiZq9nQXqKapLxqDgfboKQtH10y-IywfFrYzhFS7BzHVeBBYJ_QOyWQcFngNNO9LO3zkbsR9zFZp3j_oEsUkckTfSdz-vQYCoB8LRyDsA.buV6hRVIgscXxqB_JU0RYB0LXrjeFEYZm6QteNA1BdQ&dib_tag=se&keywords=King+Pig&qid=1714271900&s=books&sprefix=king+pig%2Cstripbooks%2C88&sr=1-1
beaver,Beaver Is Lost,Elisha Cooper,,"June 08, 2010",40,3 to 7 years,PreK to 2,,9780375957659,,,Schwartz & Wade Books,Picture Books; Animals; Childrens; Kids; Fiction; Cities; Adventure; Nature; Ecology; ,,3.56,4.4,,https://www.amazon.com/Beaver-Lost-Elisha-Cooper/dp/0375857656/ref=sr_1_1?crid=TH2NLO7HKWB9&dib=eyJ2IjoiMSJ9.OWP9W5CB1QwHI4mjqsuqwMUY0zlSRNJix6zYHgGrWk-Ks8LqIrTiE2mMVXXPUF3y_oL8GguhV76BaSDGKHM3pQ0xIY4Nio1OoxCCQRzbndBJHv_zqwiih4CBl6K5Ae85UuvJftLs4blsTmmp5aWtk1RhPdzhxlQiCFeREHmrJngFpGO2zbevJAhmwvjsuow1u2Z-Zl-YlZzmHeZb6qxo4UxGWTU2s_vlag41CkQ23QI.C_JzeOv_A_787OimhxHJkgj5OJRcjmxj0IvXQOdTbL4&dib_tag=se&keywords=Beaver+Is+Lost&qid=1714272320&s=books&sprefix=beaver+is+lost%2Cstripbooks%2C88&sr=1-1
beaver,The Busy Beaver (Life in the Wild) ,Nicholas Oldland ,Nicholas Oldland ,"April 01, 2016",32,3 - 7 years,PreK to 2,AD790L,978-1554537907,,,Kids Can Press,Picture Books; Childrens; Animals; Fiction; Canada; Humor; 2nd Grade; France; Kids; ,,3.78,4.8,,https://www.amazon.com/Busy-Beaver-Life-Wild/dp/1554537908/ref=sr_1_1?crid=G3DRU52VD142&dib=eyJ2IjoiMSJ9.NR_gg5RfBLklYM94RODPKrBcYfGzZOVTVMOheMfxBmJilYF-hYskvTHoGRlkM7zRHIyj3RvWFvrPjX89CqjasKaO5ccQdUvNWt3jxp9JEc9nRRT7KHONmaV7v_4Wy9QNiWAzlbl-SybqN2fJuuXkD2haEYHnsvZIaY_F8IyTbz8sAY8G7JfDu8vx3LZ8UVlMHhbfD8oVXhxtT2DOxGUaiS0ISo0ZyT5_B2VMKoBOrAo.qNkHubNlPC1WgncDTrWd4h92D0OHxin1jG0rdN-8qjY&dib_tag=se&keywords=The+Busy+Beaver&qid=1714272895&s=books&sprefix=the+busy+beaver+%2Cstripbooks%2C87&sr=1-1
beaver,Beaver's Big Adventures,,,,,,,,,,,,,,,,,
beaver,The Adventures of Paddy The Beaver,,,,,,,,,,,,,,,,,
badger; beaver,A home on the river,Peter Bently,Charles Fuge,"January 01, 2018",38,,,,978-1444940336,,,Hodder Children's Books,Childrens,,4.1,4.8,,https://www.amazon.com/River-Charles-illustrator-Peter-Bently/dp/1444940333/ref=sr_1_1?dib=eyJ2IjoiMSJ9.1NjuPL8G8c-AV0w6iEfzoA.nqhlroE5odAVvC3SExSeB6kppzf_6C-RCw5OhUxinMc&dib_tag=se&keywords=9781444940336&linkCode=qs&qid=1714841393&s=books&sr=1-1
beaver,The Eager Beaver,,,,,,,,,,,,,,,,,
beaver,Little Beaver and The Echo,,,,,,,,,,,,,,,,,
beaver,Benny the Beaver,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
bilby,Bilby: Secrets of an Australian Marsupial,Edel Wignell,Mark Jackson,"July 01, 2011",32,5 - 9 years,K to 4,760L,978-0763667597,,,Candlewick,Animals; Picture Books; Australia; Nonfiction; Science; ,,3.81,4.8,,https://www.amazon.com/Bilby-Australian-Marsupial-Edel-Wignell/dp/0763667595/ref=sr_1_1?crid=2B2DFXW7BIGGE&dib=eyJ2IjoiMSJ9.BBdtv6ZurQfAg2rGsyE0Mg.MGgBkYDcB-wFF6YcxPsf5rumZDQE_DmSws9m1eBoumA&dib_tag=se&keywords=Bilby%3A+Secrets+of+an+Australian+Marsupial&qid=1714273254&s=books&sprefix=bilby+secrets+of+an+australian+marsupial%2Cstripbooks%2C116&sr=1-1
"various animals including: buffalo, kangaroo, alligator","Gotta Go, Buffalo","Haily Meyers
 & Kevin Meyers",,"March 06, 2017",20,2 - 4,,,978-1423645986,,,BabyLit,Picture Books; Childrens; Animals; Storytime; Humor; Juvenile; Board book; ,,4.49,4.9,,https://www.amazon.com/Gotta-Go-Buffalo-Silly-Goodbyes/dp/1423645987/ref=sr_1_1?crid=3RCQ5I7OWPUBE&dib=eyJ2IjoiMSJ9.QNSLzjbedGbK0WevR_uohaigkHbFdBEbUYyuEsu0ibta94Ei2D96Uch9esxOTVBTsgD9u4hemYWuFyz77bzESQ1t0HIhKFuAUF9JuHB1edtEQnV0XYGi7fSuaumoQE7D.rUQHtMUs2zqwUDic0kV5Z-p7V2tggAg2n9R1gr2X0SY&dib_tag=se&keywords=Gotta+Go%2C+Buffalo&qid=1714273591&s=books&sprefix=gotta+go%2C+buffalo%2Cstripbooks%2C127&sr=1-1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
dog,Boot & Shoe,Marla Frazee,,"October 01, 2012",40,	4 to 8 years,Preschool to Grade 3,,9781442422476,,,	Beach Lane Books,,,,,,
dog,Homer,Elisha Cooper,,"May 01, 2012",32,	4 to 8 years,Preschool to Grade 3,,9780062012487,,,Greenwillow Books,,,,,,
dog,Wonder Dogs!,Linda Ashman,Karen Obyhanych,,,,,,,,,,,,,,,https://www.amazon.com/Wonder-Dogs-Linda-Ashman/dp/1534494537/ref=sr_1_1?crid=A1XP6UJUE117&dib=eyJ2IjoiMSJ9.8505cbct9-5oyU6-6xxnPe7Qne8za9F07ZI8lX9G8CQ0V0xy3lFPeopyGgsT7MnXxlOcrjCdeoZAdXh7Bkom79E-PGep76iS1kBzGSlApROKybs96bvoHrNFAYdG4QBE2Kw7OAo8ueO4MB_wOoL8-Is95jmnwswBe0FgZzjLvsqAZ2DznOHK171Ml80xT547Z86hy7Zgap1oSvJg8_Xbf8_5kKqf8YJI2-flZkLMqkc.t3VIPlvCbJyIkjQ-OtZHRQziTI9J66y2ph033910Ekw&dib_tag=se&keywords=wonder+dogs&qid=1726937781&sprefix=wonder+dogs%2Caps%2C128&sr=8-1
dog,Odd Dog Out,Rod Biddulph,Rod Biddulph,,,,,,,,,,,,,,,
dog,"Oh No, George!",Chris Haughton,Chris Haughton,,,,,,,,,,,,,,,
dog,"Ruffles and the Red, Red Coat",David Melling,David Melling,,,,,,,,,,,,,,,
dog,Gaston,Kelly DiPucchio,Christian Robinson,,,,,,,,,,,,,,,
dog,Excellent Ed,Stacy McAnulty,Julia Sarcone-Roach,,,,,,,,,,,,,,,
dog,Officer Buckle and Gloria,Peggy Rathmann,Peggy Rathmann,,,,,,,,,,,,,,,
dog,Clifford the Big Red Dog,Norman Bridwell,Norman Bridwell,,,,,,,,,,,,,,,
dog,Walk Your Dog,Elizabeth Stevens Omlor,Neesha Hudson,,,,,,,,,,,,,,,
dog,"Bark, George",Jules Feiffer,Jules Feiffer,,,,,,,,,,,,,,,
dog,The Poky Little Puppy,Janette Sebring Lowrey ,Gustaf Tenggren,,,,,,,,,,,,,,,
dog,Lone Wolf,Sarah Kurpiel,Sarah Kurpiel,,,,,,,,,,,,,,,
dog,Harry the Dirty Dog,Gene Zion,Margaret Bloy Graham,,,,,,,,,,,,,,,
dog,"Go, Dog. Go!",P. D. Eastman,P. D. Eastman,,,,,,,,,,,,,,,
dog,Rescue & Jessica: A Life-Changing Friendship,"Jessica Kensky, Patrick Downes",Scott Magoon,,,,,,,,,,,,,,,
dog,Pig the Pug,Aaron Blabey,Aaron Blabey,,,,,,,,,,,,,,,
dog,It’s Only Stanley,Jon Agee,Jon Agee,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
echidna,Spikey's Day Out,Eva-Marie Welsh,,"January 1, 2017",,,,,9780987321152,,,,,,,,"An echidna explores the Australian bush, meeting native animals and learning about his environment, introducing young readers to local wildlife and echidna characteristics.",
echidna,Little Puggles Song,Vikki Conley ,Hélène Magisson,"August 15, 2019",32, - ,,,978-1912076345,,,New Frontier Publishing,Picture Books; Animals;,,4.27,4.7,"A baby echidna discovers its unique voice among Australian bush sounds, celebrating individuality and introducing young readers to native wildlife through lyrical text.",https://www.amazon.com/Little-Puggles-Song-Vikki-Conley/dp/1912076349/ref=sr_1_1?crid=2ZJQBBTSKB047&dib=eyJ2IjoiMSJ9.VxCogV4buUnw7VznpSxEDFb1LkgDIImOa9Vqa3PgVs0.kDa5i4HLmBC7k3dj_pyDBA2UdOlXnxkJfgcHfjiHsdQ&dib_tag=se&keywords=Little+Puggles+Song&qid=1725156240&s=books&sprefix=little+puggles+song%2Cstripbooks%2C74&sr=1-1
echidna,Eric the Postie,Matt Shanks ,Matt Shanks ,"July 1, 2017",24, - ,,,978-1743811931,,,Scholastic Australia,,,,,,
echidna,Millie Loves Ants,Jackie French ,Sue deGennaro ,"May 28, 2019",32,4 - 6 years,,,978-1460751794,,,HarperCollins,,,,,,
echidna,Echidna Jim Went for a Swim,Phil Cummings,Laura Wood ,1 February 2016,24, - ,,,978-1760152994,,,Scholastic Press,,,,,,
echidna,The Echidna Near My Place,Sue Whiting,Cate James ,29 March 2022,32,5 - 10 years,,,9781760652401,,,Nature Storybooks,,,,,,
echidna,The Echidna and the Shade Tree,Pamela Lofts & Mona Green ,Pamela Lofts,"January 1, 1985",34, - ,,,978-0915391059,,,Slawson Communications,,,,,,
echidna,Puggle,Catriona Hoy ,Andrew Plant ,14 July 2011,32,3 years and up,,,978-1921504228,,,Working Title Press AU,,,,,,
echidna,E Is for Echidna: My Australian Word Book,Bronwyn Bancroft ,Bronwyn Bancroft ,"September 1, 2012",24,Baby - 3 years,,,978-1921714610,,,Little Hare Books (reprint),,,,,,
"echidna, possum",Scaly-Tailed Possum and Echidna,Cathy Goonack,,"May 01, 2010",32, - ,,,978-1921248160,,,Magabala Books,,,,,,
,,,,,,,,,,,,,,,,,,
"elephant, pig",Today I Will Fly!,Mo Willems,Mo Willems,"April 1, 2007",64,4 - 8 years,,,9781423102953,,,,,,,,,
"elephant, pig",My Friend Is Sad,Mo Willems,Mo Willems,"April 1, 2007",64,4 - 8 years,,,9781423102977,,,,,,,,,
"elephant, pig",I Am Invited to a Party,Mo Willems,Mo Willems,"September 1, 2007",64,4 - 8 years,,,9781423106876,,,,,,,,,
"elephant, pig",There Is a Bird on Your Head,Mo Willems,Mo Willems,"September 1, 2007",64,4 - 8 years,,,9781423106869,,,,,,,,,
"elephant, pig", Love My New Toy!,Mo Willems,Mo Willems,"June 3, 2008",64,4 - 8 years,,,9781423109617,,,,,,,,,
"elephant, pig",I Will Surprise My Friend!,Mo Willems,Mo Willems,"June 3, 2008",64,4 - 8 years,,,9781423109624,,,,,,,,,
"elephant, pig",Are You Ready to Play Outside?,Mo Willems,Mo Willems,"October 14, 2008",64,4 - 8 years,,,9781423113478,,,,,,,,,
"elephant, pig",Watch Me Throw the Ball,Mo Willems,Mo Willems,"March 17, 2009",64,4 - 8 years,,,9781423113485,,,,,,,,,
"elephant, pig",Elephants Cannot Dance!,Mo Willems,Mo Willems,"June 9, 2009",64,4 - 8 years,,,9781423114109,,,,,,,,,
"elephant, pig",Pigs Make Me Sneeze!,Mo Willems,Mo Willems,"October 6, 2009",64,4 - 8 years,,,9781423114116,,,,,,,,,
"elephant, pig",I Am Going!,Mo Willems,Mo Willems,"January 26, 2010",64,4 - 8 years,,,9781423119906,,,,,,,,,
"elephant, pig",Can I Play Too?,Mo Willems,Mo Willems,"June 8, 2010",64,4 - 8 years,,,9781423119913,,,,,,,,,
"elephant, pig",We Are in a Book!,Mo Willems,Mo Willems,"September 14, 2010",64,4 - 8 years,,,9781423133087,,,,,,,,,
"elephant, pig",I Broke My Trunk,Mo Willems,Mo Willems,"February 8, 2011",64,4 - 8 years,,,9781423133094,,,,,,,,,
"elephant, pig",Should I Share My Ice Cream?,Mo Willems,Mo Willems,"June 14, 2011",64,4 - 8 years,,,9781423143437,,,,,,,,,
"elephant, pig",Let's Go for a Drive!,Mo Willems,Mo Willems,"October 2, 2012",64,4 - 8 years,,,9781423164821,,,,,,,,,
"elephant, pig",Happy Pig Day!,Mo Willems,Mo Willems,"October 4, 2011",64,4 - 8 years,,,9781423143420,,,,,,,,,
"elephant, pig",Listen to My Trumpet!,Mo Willems,Mo Willems,"February 07, 2012",64,4 - 8 years,,,9781423154044,,,,,,,,,
"elephant, pig",A Big Guy Took My Ball!,Mo Willems,Mo Willems,"May 21,  2013",64,4 - 8 years,,,9781423174912,,,,,,,,,
"elephant, pig",I'm a Frog!,Mo Willems,Mo Willems,"October 15,  2013",64,4 - 8 years,,,9781423183051,,,,,,,,,
"elephant, pig",My New Friend Is So Fun!,Mo Willems,Mo Willems,"June 03,  2014",64,4 - 8 years,,,9781423179580,,,,,,,,,
"elephant, pig",Waiting Is Not Easy!,Mo Willems,Mo Willems,"November 04,  2014",64,4 - 8 years,,,9781423199571,,,,,,,,,
"elephant, pig",I Will Take a Nap!,Mo Willems,Mo Willems,"June 02,  2015",64,4 - 8 years,,,9781484716304,,,,,,,,,
"elephant, pig",I Really Like Slop!,Mo Willems,Mo Willems,"October 27,  2015",64,4 - 8 years,,,9781484722626,,,,,,,,,
"elephant, pig",The Thank You Book,Mo Willems,Mo Willems,"May 03,  2016",64,4 - 8 years,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
fox,Pax ,Sara Pennypacker ,Jon Klassen ,"April 02,  2019",304,8 - 11 years,3 - 7,,978-0062377029,,,Balzer & Bray,,,,,,
fox,"Pax, Journey Home ",Sara Pennypacker ,Jon Klassen ,"January 31, 2023",272,9 - 11 years,3 - 7,,978-0062930361,,,Balzer & Bray,,,,,,
fox,Fantastic Mr. Fox,Roald Dahl,Quentin Blake ,"August 16, 2007",81,5 - 8 years,3 - 7,,978-0142410349,,,Penguin Young Readers Group,,,,,,
fox,The Fox and the Star ,Coralie Bickford-Smith ,,"November 10, 2015",64,2 - 6 years,,,978-0143108672,,,Penguin Books,,,,,,
fox,Foxy,Emma Dodd,,"June 26, 2012",40,4 - 8 years,Preschool - 2,,978-0062014191,,,HarperCollins;,,,,,,
fox,Fox in Socks,Dr. Seuss / Theodore Geisel ,,"January 12, 1965",62,2 - 6 years,Preschool - 2,,978-0394800387,,,Random House Books for Young Readers,,,,,,
fox,Fox's Socks,Julia Donaldson,Axel Scheffler,"January 1, 2020",12,board book,,,978-1529023473,,,Macmillan Children's Books,,,,,,
"fox, dog",The Fox and the Hound,Daniel P. Mannix,John Schoenherr ,"January 1, 1967",255,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
platypus,This Zoo Is Not for You,Ross Collins,Ross Collins,"February 01, 2018",32,3 - 7,,,,,,,,,,,,
platypus,Eee-Moo!,Annika Dunklee,Brian Won,"September 24, 2019",40,4 - 8 years,,,,,,,,,,,,
"platypus, beaver",Dude!,Aaron Reynolds,Dan Santat,"April 24, 2018",40,4 - 8,,,,,,,,,,,,
"possum, Australian possum",Possum Magic,Mem Fox,Julie Vivas,1983,32,,,,"9780152632243, 0152632247",,,,"Animals -- Fiction, Animals -- Juvenile fiction, Australia -- Fiction, Australia -- Juvenile fiction, Easy to read materials, Juvenile Fiction / Animals / Mammals, Juvenile Fiction / Cooking & Food, Juvenile Fiction / Family / Multigenerational, Juvenile Fiction / Fantasy & Magic, Juvenile Fiction / People & Places / Australia & Oceania, Magic -- Juvenile fiction, Opossums -- Fiction, Opossums -- Juvenile fiction, Pseudocheiridae -- Juvenile fiction, Talking books for children, Zoology -- Juvenile fiction -- Australia, Australia -- Juvenile fiction -- Fiction, Cooking, Australian -- Juvenile fiction, Phalangeridae -- Juvenile fiction, Picture books for children",,,,,
"possum, Australian possum",Possum in the House,Kiersten Jensen,Tony Oliver,"January 01,  1989",31,6 - 9 years,2 - 3,,978-1555329334,,,Gareth Stevens Pub,,,,,,
"possum, opossum",Possum's Harvest Moon,Anne Hunter ,,"September 28, 1998",32,3 - 7 years,Preschool - 3,,978-0395918241,,,Clarion Books,,,,,,
,,,,,,,,,,,,,,,,,,
rabbit,Knuffle Bunny,Mo Willems,,"September 01,  2004",40,3 - 6 years,,,9780786818709,,,,,,,,,
rabbit,Knuffle Bunny Too,Mo Willems,,"September 12, 2007",48,3 - 6 years,,,9781423102991,,,,,,,,,
rabbit,Knuffle Bunny Free,Mo Willems,,"September 28, 2010",48,3 - 6 years,,,9780061929571,,,,,,,,,
raccoon,The Kissing Hand,Audrey Penn ,Ruth Harper ,"October 15, 1993",32,2 - 6 years,Preschool - 3,,978-1933718002,,,Tanglewood; Book & CD edition,,,,,,
sheep,Where is the green sheep?,Mem Fox,Judy Horacek,2004,,,,,"9780152049072, 015204907X",,,,"Children's stories, Juvenile Fiction / Animals / Farm Animals, Juvenile Fiction / Bedtime & Dreams, Juvenile Fiction / Concepts / Colors, Juvenile Fiction / Concepts / Opposites, Picture books, Picture books for children, Reader (Elementary), Readers -- Juvenile literature, Sheep -- Fiction, Sheep -- Juvenile fiction, Sheep -- Juvenile fiction -- Fiction, Stories in rhyme -- Juvenile fiction, Children's stories -- Pictorial works, Nursery rhymes -- Pictorial works -- Juvenile fiction, Sheep - Fiction, Sheep -- Pictorial works -- Juvenile fiction, Stories in rhyme",,,,,
,,,,,,,,,,,,,,,,,,
squirrel,Nuts to You!,Lois Ehlert,Lois Ehlert,"January 01,  1993",40,2 - 6 years,PreK - 3,520L,978-0152050641,,,larion Books,Picture Books; Animals; Childrens; Storytime; Realistic Fiction; Nature; Poetry; Science; Juvenile; Humor; ,,3.66,4.6,,https://www.amazon.com/gp/product/0152050647/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0152050647&SubscriptionId=1MGPYB6YW3HWK55XCGG2
squirrel,Scaredy Squirrel,Melanie Watt ,Melanie Watt ,"March 01,  2008",40,3 - 7 years,Preschool - 3,,978-1554534043,,,Kids Can Press,,,,,,
squirrel,Scaredy Squirrel Makes a Friend (Book 2),Melanie Watt ,Melanie Watt ,"August 01,  2011",32,4 - 7 years,Preschool - 3,,978-1554533855,,,Kids Can Press,,,,,,
squirrel,,Melanie Watt ,Melanie Watt ,,,,,,,,,,,,,,,
squirrel,Scaredy Squirrel at Night (Book 4),Melanie Watt ,Melanie Watt ,"August 01,  2012",32,4 - 8 years,Preschool - 3,,978-1554537051,,,Kids Can Press,,,,,,
squirrel,,Melanie Watt ,Melanie Watt ,,,,,,,,,,,,,,,
squirrel,,Melanie Watt ,Melanie Watt ,,,,,,,,,,,,,,,
squirrel,Scaredy Squirrel Goes Camping (Book 7),Melanie Watt ,Melanie Watt ,"June 15, 2021",32,4 - 7 years,Preschool - 3,,978-0593307465,,,Random House Books for Young Readers,,,,,,
